Keyword,Volume US,Volume UK,Volume DE,Volume IT,Volume FR,Difficulty,Intent,Cluster,Dominio Assegnato,Funnel Stage,Priorità,Rischio Cannibalizzazione,Note,Source,Data Aggiornamento
"merino wool benefits",0,6200,0,0,0,30,TOFU,C3 Conscious Premium,merinouniversity.com,TOFU,P2,Nessuno,Solo mercato EN-UK. Educational authority content,SEMrush KMT,2026-03-10
"maglia termica merino",0,0,0,1800,0,35,MOFU,C6 Semantic Defense,worldofmerino.com,MOFU,P2,Basso,Solo IT. Ranking pos 15. Attenzione: confine con intimo — verificare intent,SEMrush KMT,2026-03-10
"comfort climatico lana",0,0,0,480,0,15,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P2,Nessuno,IT only. Keyword branded da proteggere — semantic defense,SEMrush KMT,2026-03-10
"cut and sewn vs seamless",0,890,450,320,210,20,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P1,Nessuno,Semantic defense moat keyword. Technical differentiator per MU,SEMrush KMT,2026-03-10
"abbigliamento merino viaggio",0,0,0,650,0,28,MOFU,C2 Business Professional,worldofmerino.com,MOFU,P2,Nessuno,IT only. Travel use case — C2 Business Professional,SEMrush KMT,2026-03-10
"merino base layer hiking",0,3200,1800,0,0,38,MOFU,C6 Semantic Defense,worldofmerino.com,MOFU,P1,Nessuno,Opportunità EN+DE. Outdoor/technical query — high intent,SEMrush KMT,2026-03-10
"maglietta lana merino",0,0,0,2200,0,42,BOFU,C6 Semantic Defense,perfectmerinoshirt.com,BOFU,P1,ALTO,"⚠️ CANNIBALIZZAZIONE! Ranking attuale su albeni1905.com pos 18 — deve migrare a PMS",SEMrush KMT,2026-03-10
"italian merino wool",0,1800,0,0,0,22,TOFU,C4 Italian Authentic,albeni1905.com,TOFU,P2,Nessuno,EN-UK only. Brand + origin keyword per albeni1905,SEMrush KMT,2026-03-10
"lana merino",0,0,0,480,0,20,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P2,Nessuno,IT generico educazionale. Safe keyword (no intimo trap),SEMrush IT Analysis,2026-03-10
"maglietta elegante uomo",0,0,0,170,0,30,MOFU,C2 Business Professional,perfectmerinoshirt.com,MOFU,P2,Nessuno,IT safe keyword per C2. ADV targeting candidate (€3K IT budget),SEMrush IT Analysis,2026-03-10
"abbigliamento business casual uomo",0,0,0,140,0,25,MOFU,C2 Business Professional,worldofmerino.com,MOFU,P2,Nessuno,IT safe keyword per C2. Lifestyle content,SEMrush IT Analysis,2026-03-10
"merino vs cotton",0,2400,800,0,0,18,TOFU,C3 Conscious Premium,merinouniversity.com,TOFU,P1,Nessuno,High-value comparison query. MU educational cornerstone,SEMrush KMT,2026-03-10
"cut and sew merino",0,580,320,0,0,15,BOFU,C6 Semantic Defense,perfectmerinoshirt.com,BOFU,P1,Nessuno,Technical BOFU query — visitors at purchase decision stage,SEMrush KMT,2026-03-10
"t-shirt sotto giacca uomo",0,0,0,480,0,28,MOFU,C2 Business Professional,perfectmerinoshirt.com,MOFU,P1,Nessuno,IT C2 key seed. Under-blazer use case — high purchase intent,SEMrush KMT,2026-03-10
"maglietta sotto blazer",0,0,0,320,0,22,MOFU,C2 Business Professional,perfectmerinoshirt.com,MOFU,P2,Nessuno,IT C2 supporting keyword. Variant di sotto-giacca,SEMrush KMT,2026-03-10
"t-shirt traspirante",0,0,0,590,0,35,MOFU,C2 Business Professional,perfectmerinoshirt.com,MOFU,P2,Basso,IT C2 — attenzione: query generica potrebbe attrarre sportswear intent,SEMrush KMT,2026-03-10
"abbigliamento sostenibile uomo",0,0,0,260,0,22,TOFU,C3 Conscious Premium,worldofmerino.com,TOFU,P3,Nessuno,IT C3 seed. Sustainability lifestyle content,SEMrush KMT,2026-03-10
"t-shirt sostenibile italiana",0,0,0,90,0,15,MOFU,C3 Conscious Premium,merinouniversity.com,MOFU,P2,Nessuno,IT C3 — basso volume ma altissimo intent. Made in Italy + sustainability,SEMrush KMT,2026-03-10
"tessile italiano storia",0,0,0,170,0,12,TOFU,C4 Italian Authentic,worldofmerino.com,TOFU,P3,Nessuno,IT C4 seed. Heritage storytelling content,SEMrush KMT,2026-03-10
"best fabric for t-shirt",0,1800,0,0,0,20,MOFU,C6 Semantic Defense,merinouniversity.com,MOFU,P2,Nessuno,EN comparison query. MU educational — merino vs cotton vs synthetic,SEMrush KMT,2026-03-10
"minimalist mens fashion",0,1200,0,0,0,25,TOFU,C5 Modern Minimalist,worldofmerino.com,TOFU,P3,Nessuno,EN C5 supporting seed. Lifestyle content pillar,SEMrush KMT,2026-03-10
"abbigliamento classico senza tempo",0,0,0,210,0,18,TOFU,C1 Heritage Mature,worldofmerino.com,TOFU,P3,Nessuno,IT C1 heritage seed. Timeless elegance positioning,SEMrush KMT,2026-03-10
"business casual t-shirt",1450,680,0,0,0,30,MOFU,C2 Business Professional,perfectmerinoshirt.com,MOFU,P2,Nessuno,EN C2 commercial query. Smart casual crossover,SEMrush KMT,2026-03-10
"plasma treatment anti-shrink merino wool",0,120,80,0,0,10,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P1,Nessuno,Technical moat keyword. MU Plasma Treatment page — Rank Math focus kw,SEMrush + Rank Math,2026-03-10
"life cycle assessment LCA merino",0,90,0,0,0,8,TOFU,C3 Conscious Premium,merinouniversity.com,TOFU,P2,Nessuno,Technical sustainability query. MU LCA page,SEMrush + Rank Math,2026-03-10
"merino wool washing care",0,2100,0,0,0,15,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P2,Nessuno,MU Science of Maintenance page. High search intent,SEMrush + Rank Math,2026-03-10
"Merinowolle waschen Pflege",0,0,1400,0,0,18,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P2,Nessuno,DE care guide. Rank Math focus kw — MU page ID 324,SEMrush + Rank Math,2026-03-10
"trattamento plasma anti-restringimento",0,0,0,90,0,8,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P1,Nessuno,IT technical moat. Rank Math focus kw — MU page ID 117,SEMrush + Rank Math,2026-03-10
"analisi ciclo vita merino",0,0,0,60,0,10,TOFU,C3 Conscious Premium,merinouniversity.com,TOFU,P2,Nessuno,IT LCA page keyword. Rank Math focus — MU page ID 116,SEMrush + Rank Math,2026-03-10
"lavaggio cura lana merino",0,0,0,320,0,12,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P2,Nessuno,IT maintenance guide. Rank Math focus — MU page ID 47,SEMrush + Rank Math,2026-03-10
"scienza dei materiali lana merino",0,0,0,140,0,10,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P1,Nessuno,IT Material Science department. Rank Math focus — MU page ID 32,SEMrush + Rank Math,2026-03-10
"Materialwissenschaft Merinowolle",0,0,260,0,0,12,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P2,Nessuno,DE Material Science. Rank Math focus — MU page ID 556,SEMrush + Rank Math,2026-03-10
"Plasmabehandlung Anti-Schrumpf Merinowolle",0,0,40,0,0,5,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P1,Nessuno,DE technical moat. Very low competition — easy win. MU page ID 322/2052,SEMrush + Rank Math,2026-03-10
"Ökobilanz Merinowolle",0,0,180,0,0,8,TOFU,C3 Conscious Premium,merinouniversity.com,TOFU,P2,Nessuno,DE LCA keyword. MU page ID 2056,SEMrush + Rank Math,2026-03-10
"traitement plasma anti-rétrécissement",0,0,0,0,60,5,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P1,Nessuno,FR technical moat. Zero competition. MU page ID 427/2053,SEMrush + Rank Math,2026-03-10
"analyse cycle vie mérinos",0,0,0,0,40,8,TOFU,C3 Conscious Premium,merinouniversity.com,TOFU,P2,Nessuno,FR LCA keyword. MU page ID 423/440/1382,SEMrush + Rank Math,2026-03-10
"laine mérinos lavage entretien",0,0,0,0,280,10,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P2,Nessuno,FR maintenance guide. MU page ID 430,SEMrush + Rank Math,2026-03-10
"science des matières laine mérinos",0,0,0,0,50,6,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P1,Nessuno,FR Material Science keyword. MU page ID 443,SEMrush + Rank Math,2026-03-10
